iter	Logloss
0	0.5874356721
1	0.4952767573
2	0.4218883247
3	0.3624347857
4	0.3104409475
5	0.2699547769
6	0.2365124756
7	0.2064651372
8	0.1813119363
9	0.1626271622
10	0.14565023
11	0.1322491395
12	0.1196017935
13	0.1097493259
14	0.1016520027
15	0.09471507165
16	0.08925160029
17	0.08466478756
18	0.07979378065
19	0.07588004114
20	0.07227653124
21	0.06950846847
22	0.06682834562
23	0.06466501286
24	0.06280454626
25	0.06136370269
26	0.05993395531
27	0.05864995724
28	0.05747173488
29	0.05638006458
30	0.05556657216
31	0.05472915721
32	0.05402333943
33	0.0533426767
34	0.05276607566
35	0.0522389318
36	0.05182252818
37	0.05139375249
38	0.05093682971
39	0.05051202622
40	0.05021620193
41	0.04990321042
42	0.04960769928
43	0.04935272348
44	0.04912623662
45	0.04887343766
46	0.04869976567
47	0.04843146593
48	0.04824705737
49	0.04806623099
50	0.04789728872
51	0.04770246483
52	0.04753657555
53	0.0473706486
54	0.04727194634
55	0.04709888546
56	0.0469744476
57	0.04688383912
58	0.04678004059
59	0.04665170689
60	0.04654581575
61	0.04646193504
62	0.04637898014
63	0.04627762152
64	0.04616906025
65	0.04610568065
66	0.04603234568
67	0.04592809035
68	0.04585791925
69	0.04579616727
70	0.04572405583
71	0.04565004406
72	0.04558841016
73	0.04554740557
74	0.04547447011
75	0.04539511733
76	0.04530384715
77	0.04524269128
78	0.04518674779
79	0.04512587811
80	0.04508439217
81	0.0449905643
82	0.04489311966
83	0.04485270227
84	0.04478526488
85	0.04475802988
86	0.04468640628
87	0.04462514616
88	0.04456578073
89	0.04449513349
90	0.04443094524
91	0.04433819587
92	0.04427017357
93	0.04419960117
94	0.04414599468
95	0.04410485837
96	0.04408673622
97	0.04401724156
98	0.04398933452
99	0.0439886195
100	0.04393011561
101	0.0439028113
102	0.04385082417
103	0.04377757937
104	0.043737136
105	0.04372203264
106	0.04366272062
107	0.04358490445
108	0.04353168975
109	0.04345147211
110	0.04341974153
111	0.04338142434
112	0.04332362558
113	0.04332328134
114	0.04324195746
115	0.04319287126
116	0.04315640146
117	0.04311852411
118	0.0430638549
119	0.04301053462
120	0.04297645942
121	0.04287788257
122	0.04284671115
123	0.04282668306
124	0.04280927768
125	0.04273858794
126	0.04270583475
127	0.04266964215
128	0.042616228
129	0.04253669346
130	0.04248997589
131	0.04247082248
132	0.04243078243
133	0.04239302748
134	0.04233080982
135	0.0422926761
136	0.04227554556
137	0.04225277256
138	0.04220927596
139	0.04212018869
140	0.04211609431
141	0.04210270778
142	0.04209368678
143	0.04206528696
144	0.04203789817
145	0.04198106556
146	0.04190355998
147	0.04190316945
148	0.04184841628
149	0.04183862521
150	0.04182837503
151	0.04177178134
152	0.04174770339
153	0.04168293373
154	0.04161974362
155	0.04161703027
156	0.04156139544
157	0.04152548352
158	0.04149318313
159	0.04147510213
160	0.04142909845
161	0.04141206712
162	0.04139862875
163	0.04136748377
164	0.04136694837
165	0.04125644351
166	0.04123157493
167	0.04116010296
168	0.04112275975
169	0.04106803681
170	0.04103354254
171	0.04095270179
172	0.04090949522
173	0.04084675657
174	0.04084227184
175	0.04080798561
176	0.04076323068
177	0.04072295708
178	0.04070969802
179	0.04068402991
180	0.040641702
181	0.04057378774
182	0.0405140898
183	0.04048483658
184	0.04043592493
185	0.04040764324
186	0.04039960705
187	0.04038858445
188	0.04037402265
189	0.04031026585
190	0.0402794435
191	0.04026159566
192	0.04023071655
193	0.04021107065
194	0.0401863553
195	0.0401321558
196	0.04010196001
197	0.0400947272
198	0.04007780487
199	0.04006847507
200	0.04001960896
201	0.03999779968
202	0.03996208436
203	0.03989418983
