,XGBoost + SMOTE,XGBoost + Class Weighting,Random Forest (class_weight=balanced)
precision,0.5,0.7666666666666667,0.4528301886792453
recall,0.3943661971830985,0.323943661971831,0.3380281690140845
f1,0.4409448818897638,0.4554455445544554,0.3870967741935484
roc_auc,0.8006977047470006,0.8305946791862285,0.7974700052164841
pr_auc,0.4676609634427636,0.5576702256008699,0.4313432741626751
