Model,Fold,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn
XGBoost + SMOTE,val,0.8703241895261845,0.5714285714285714,0.4745762711864407,0.5185185185185185,0.8926553672316383,0.6331108233639988,28,21,31,321
XGBoost + Class Weighting,val,0.9027431421446384,0.7631578947368421,0.4915254237288136,0.5979381443298969,0.8826940231935771,0.6800131844620125,29,9,30,333
Random Forest (class_weight=balanced),val,0.85785536159601,0.52,0.4406779661016949,0.47706422018348627,0.8620775101595798,0.4790533070297887,26,24,33,318
XGBoost + SMOTE,test,0.8588469184890656,0.5,0.39436619718309857,0.4409448818897638,0.8006977047470006,0.46766096344276364,28,28,43,404
XGBoost + Class Weighting,test,0.8906560636182903,0.7666666666666667,0.323943661971831,0.45544554455445546,0.8305946791862285,0.5576702256008699,23,7,48,425
Random Forest (class_weight=balanced),test,0.8489065606361829,0.4528301886792453,0.3380281690140845,0.3870967741935484,0.7974700052164841,0.43134327416267515,24,29,47,403
