model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
XGBoost + SMOTE,0.443465367965368,0.08248679783718244,0.54640522875817,0.13407457678387544,0.48704628704628705,0.09853085399431323,0.9149387290147579,0.032731921921104495,0.5608528193790173,0.07730075188338206
XGBoost + Class Weighting,0.5607894736842105,0.08507617275513775,0.5457516339869282,0.08077913133534823,0.5526310401310401,0.08034930275699094,0.9486741655247085,0.0195914400288223,0.6176778798630693,0.05747891912838803
Random Forest (class_weight=balanced),0.39420674531155475,0.06296299693303636,0.7320261437908497,0.09068259428438957,0.5113040789438305,0.07184632680246392,0.9260929384696069,0.0201353690026768,0.431619609220906,0.1451483369464574
