component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.2649939973518065,0.2649939973518065
PC2,0.20667056419602783,0.4716645615478343
PC3,0.1995021262635215,0.6711666878113558
PC4,0.19300175491696864,0.8641684427283245
PC5,0.13583155727167548,1.0
