feature,min,max,range,mean,median,variance,std,skewness,kurtosis_excess
TransactionAmount,0.26,1919.11,1918.85,297.5937778662421,211.14,85232.60902510874,291.9462433824226,1.7390674727944568,3.6333862764401044
CustomerAge,18.0,80.0,62.0,44.673964968152866,45.0,316.56231672995506,17.79219819836647,0.1477760713709111,-1.2241467771251036
TransactionDuration,10.0,300.0,290.0,119.64331210191082,112.5,4894.927283012072,69.963756924654,0.5990738033681695,-0.2605526495023578
LoginAttempts,1.0,5.0,4.0,1.1246019108280254,1.0,0.36320175305090713,0.6026622213569613,5.170400738779345,26.613744951947755
AccountBalance,101.25,14977.99,14876.74,5114.302965764331,4735.51,15217352.378406454,3900.942498731102,0.6008421741892332,-0.5660303626567988
