model,n_bootstrap_runs,mean_pairwise_jaccard_top5pct,min_pairwise_jaccard,max_pairwise_jaccard
isolation_forest,5,0.5272,0.4483,0.5652
lof,5,0.5904,0.4651,0.7027
gmm,5,0.2808,0.2293,0.3333
