,TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance
TransactionAmount,,0.019937174389589973,0.0,0.0,0.00393981434551538
CustomerAge,0.019937174389589973,,0.0,0.004283379862640935,0.3193008986271497
TransactionDuration,0.0,0.0,,0.007930903746442453,0.0
LoginAttempts,0.0,0.004283379862640935,0.007930903746442453,,0.0
AccountBalance,0.00393981434551538,0.3193008986271497,0.0,0.0,
