,PC1,PC2,PC3,PC4,PC5
TransactionAmount,-0.11123939974767258,-0.05803134282823625,0.9656440071551212,0.22757283556514707,0.0006443225651725741
CustomerAge,0.7018355871913735,-0.04844895528881307,0.0772713054735491,0.0008280434329329678,0.7064757370056308
TransactionDuration,-0.023220627883060577,0.7078376464472008,0.19901637702559016,-0.6754667182283863,0.050634602340553864
LoginAttempts,0.049463637215901995,0.7021944176567161,-0.11718369853600343,0.7004448945619267,0.011012669280135723
AccountBalance,0.7014747005627561,0.013188178979961895,0.09067116007223573,-0.03649083590186447,-0.7058374288969965
